#datum;m_tnn;m_tnnd;m_tna;m_dtn0;m_dtn10;m_dtn20
1941-09;5.6;1941-09-21;10.0;0;0;0
1941-10;-1.4;1941-10-29;6.2;3;0;0
1941-11;-6.3;1941-11-30;0.9;10;0;0
1941-12;-12.7;1941-12-29;-0.8;15;1;0
1942-01;-21.7;1942-01-24;-11.1;31;17;0
1942-02;-15.1;1942-02-13;-5.1;23;2;0
1942-03;-6.5;1942-03-14;-0.2;14;0;0
1942-04;-0.9;1942-04-01;6.1;1;0;0
1942-05;3.1;1942-05-05;11.6;0;0;0
1942-06;9.6;1942-06-17;14.6;0;0;1
1942-07;12.9;1942-07-30;15.3;0;0;1
1942-08;11.0;1942-08-02;15.6;0;0;0
1942-09;10.4;1942-09-12;15.1;0;0;0
1942-10;1.6;1942-10-21;8.1;0;0;0
1942-11;-4.4;1942-11-25;2.3;9;0;0
1942-12;-4.9;1942-12-05;0.2;14;0;0
1943-01;-16.1;1943-01-12;-6.5;31;4;0
1943-02;-4.3;1943-02-01;0.1;13;0;0
1943-03;-2.4;1943-03-05;2.3;7;0;0
1943-04;1.3;1943-04-09;7.6;0;0;0
1943-05;4.6;1943-05-01;9.8;0;0;0
1943-06;8.2;1943-06-01;13.4;0;0;0
1943-07;12.0;1943-07-10;16.2;0;0;1
1943-08;12.5;1943-08-13;17.8;0;0;7
1943-09;10.7;1943-09-22;14.1;0;0;0
1943-10;1.4;1943-10-31;8.8;0;0;0
1943-11;-2.0;1943-11-07;2.2;4;0;0
1943-12;-3.5;1943-12-19;-0.0;13;0;0
